,업종명,전일대비,전일대비 등락현황,전일대비 등락현황.1,전일대비 등락현황.2,전일대비 등락현황.3,등락그래프
0,창업투자,9.72,70,34,27,9,100%
1,전자제품,7.68,19,12,2,5,79%
2,기타금융,5.63,10,6,0,4,57%
3,석유와가스,4.64,21,15,3,3,47%
4,종이와목재,3.86,15,12,1,2,39%
5,판매업체,3.63,8,3,5,0,37%
6,복합기업,3.34,16,13,1,2,34%
7,자동차부품,3.15,146,101,18,27,32%
8,화장품,2.97,51,35,7,9,30%
9,생명보험,2.89,7,6,0,1,29%
10,자동차,2.71,8,7,1,0,27%
11,IT서비스,2.59,71,49,6,16,26%
12,무역회사와판매업체,2.48,5,3,0,2,25%
13,전기제품,2.41,40,25,3,12,24%
14,가정용기기와용품,2.29,17,13,0,4,23%
15,디스플레이패널,1.99,4,3,1,0,20%
16,손해보험,1.64,13,13,0,0,16%
17,광고,1.5,12,10,0,2,15%
18,건강관리기술,1.46,10,6,1,3,15%
19,증권,1.4,36,27,3,6,14%
20,부동산,1.39,18,7,5,6,14%
21,소프트웨어,1.36,51,33,9,9,13%
22,카드,1.33,1,1,0,0,13%
23,디스플레이장비및부품,1.26,95,56,19,20,12%
24,문구류,1.23,3,3,0,0,12%
25,가정용품,1.22,8,5,2,1,12%
26,양방향미디어와서비스,1.18,11,8,0,3,12%
27,게임엔터테인먼트,1.17,35,23,3,9,12%
28,레저용장비와제품,1.16,9,8,0,1,11%
29,방송과엔터테인먼트,1.15,55,24,10,21,11%
30,전자장비와기기,1.13,86,55,12,19,11%
31,담배,1.12,1,1,0,0,11%
32,컴퓨터와주변기기,1.1,22,10,4,8,11%
33,화학,1.05,116,68,11,37,10%
34,식품과기본식료품소매,1.0,8,6,0,2,10%
35,은행,0.92,10,7,1,2,9%
36,교육서비스,0.9,21,17,1,3,9%
37,복합유틸리티,0.87,2,2,0,0,8%
38,기타,0.87,786,436,99,251,8%
39,반도체와반도체장비,0.81,119,68,9,42,8%
40,생물공학,0.79,46,24,5,17,8%
41,인터넷과카탈로그소매,0.74,12,5,4,3,7%
42,포장재,0.71,27,17,2,8,7%
43,에너지장비및서비스,0.65,11,7,0,4,6%
44,도로와철도운송,0.6,6,3,0,3,6%
45,식품,0.59,84,50,12,22,6%
46,사무용전자제품,0.5,1,1,0,0,5%
47,건축제품,0.47,16,8,2,6,4%
48,생명과학도구및서비스,0.41,30,14,5,11,4%
49,항공사,0.3,11,4,3,4,3%
50,가스유틸리티,0.28,13,6,3,4,2%
51,건강관리장비와용품,0.28,64,30,5,29,2%
52,전문소매,0.27,4,2,1,1,2%
53,상업서비스와공급품,0.22,21,11,3,7,2%
54,"섬유,의류,신발,호화품",0.06,80,38,10,32,0%
55,무선통신서비스,-0.06,4,2,1,1,0%
56,통신장비,-0.08,45,20,8,17,0%
57,백화점과일반상점,-0.13,12,4,1,7,1%
58,전기유틸리티,-0.14,4,3,0,1,1%
59,건강관리업체및서비스,-0.17,3,1,1,1,1%
60,핸드셋,-0.18,68,37,13,18,1%
61,우주항공과국방,-0.28,17,5,2,10,2%
62,비철금속,-0.31,38,20,4,14,3%
63,기계,-0.31,100,48,16,36,3%
64,"호텔,레스토랑,레저",-0.35,21,11,2,8,3%
65,독립전력생산및에너지거래,-0.36,1,0,0,1,3%
66,항공화물운송과물류,-0.38,15,6,3,6,3%
67,가구,-0.41,10,4,2,4,4%
68,다각화된통신서비스,-0.45,4,1,0,3,4%
69,제약,-0.48,143,83,8,52,4%
70,조선,-0.54,25,9,3,13,5%
71,출판,-0.78,5,0,1,4,8%
72,전기장비,-0.83,26,15,4,7,8%
73,철강,-0.89,51,23,5,23,9%
74,건축자재,-0.91,44,18,3,23,9%
75,음료,-1.08,15,2,2,11,11%
76,건설,-1.18,72,28,4,40,12%
77,운송인프라,-1.2,5,2,0,3,12%
78,해운사,-6.92,10,2,1,7,71%
