,기업명,시가총액,per,종목코드,클래스,상장일
0,대한제당우,201,13.19,001795,kospi,1968/12/27
1,대한제당,3148,14.93,001790,kospi,1968/12/27
2,신라에스지,704,-51.31,025870,kosdaq,1995/07/07
3,동서,33449,28.58,026960,kospi,2016/07/15
4,크라운해태홀딩스우,90,10.03,005745,kospi,1976/06/30
5,케이씨피드,798,70.22,025880,kosdaq,1995/07/07
6,대주산업,782,22.32,003310,kosdaq,1992/08/01
7,크라운제과,1315,8.61,264900,kospi,2017/04/11
8,고려산업,1072,15.64,002140,kospi,1991/01/14
9,푸드나무,1804,28.65,290720,kosdaq,2018/10/04
10,크라운제과우,82,8.70,26490K,kospi,2017/04/11
11,보락,1363,325.00,002760,kospi,1989/11/30
12,메지온,13873,-98.48,140410,kosdaq,2012/01/20
13,현대사료,996,771.43,016790,kosdaq,2018/06/01
14,푸드웰,765,18.61,005670,kosdaq,1993/12/07
15,풀무원,6671,45.34,017810,kospi,1995/10/05
16,삼양식품,6825,10.15,003230,kospi,1975/06/30
17,사조산업,2510,33.92,007160,kospi,1989/07/25
18,해태제과식품,2452,8.93,101530,kospi,2016/05/11
19,조흥,1083,14.41,002600,kospi,1976/12/23
20,동원수산,412,-12.75,030720,kospi,1996/11/22
21,사조오양,1008,5.46,006090,kospi,1986/12/24
22,오리온홀딩스,9084,11.72,001800,kospi,1975/06/27
23,롯데지주,35354,-17.98,004990,kospi,1974/02/16
24,마니커에프앤지,776,23.26,195500,kosdaq,2019/08/20
25,팜스토리,2306,8.48,027710,kosdaq,1996/07/06
26,서울식품우,113,-724.29,004415,kospi,1973/12/28
27,오뚜기,20967,19.49,007310,kospi,1994/08/12
28,빙그레,5881,16.86,005180,kospi,1978/08/31
29,정다운,1184,-37.53,208140,kosdaq,2014/12/17
30,윙입푸드,628,7.01,900340,kosdaq,2018/11/30
31,사조동아원,1863,19.41,008040,kospi,1989/06/24
32,행남사,808,-18.63,008800,kosdaq,1993/09/03
33,오리온,51397,19.21,271560,kospi,2017/07/07
34,대상,8801,7.31,001680,kospi,1970/04/01
35,매일유업,5749,9.97,267980,kosdaq,2017/06/05
36,대한제분,2501,12.01,001130,kospi,1970/11/25
37,우성사료,1262,21.96,006980,kospi,1988/10/10
38,SPC삼립,6316,-50.69,005610,kospi,1975/05/02
39,삼양사,5951,10.69,145990,kospi,2011/12/05
40,체리부로,601,-1.44,066360,kosdaq,2017/12/04
41,하림,3170,37.78,136480,kosdaq,2011/05/02
42,대상홀딩스우,77,3.56,084695,kospi,2005/08/17
43,농심홀딩스,3543,5.18,072710,kospi,2003/07/30
44,한일사료,782,36.09,005860,kosdaq,1994/11/07
45,동원F&B,7390,9.48,049770,kospi,2000/11/23
46,서울식품,1404,-54.86,004410,kospi,1973/12/28
47,대상우,242,5.08,001685,kospi,1970/04/01
48,이지홀딩스,2562,2.82,035810,kosdaq,1999/11/23
49,남양유업,2207,-5.08,003920,kospi,1978/06/24
50,CJ씨푸드1우,73,627.59,011155,kospi,1988/11/26
51,크라운해태홀딩스,1459,6.62,005740,kospi,1976/06/30
52,신라교역,1704,22.23,004970,kospi,1976/06/30
53,삼양사우,154,7.71,145995,kospi,2011/12/05
54,매일홀딩스,1285,65.07,005990,kosdaq,1999/05/14
55,농심,17244,11.61,004370,kospi,1976/06/30
56,동우팜투테이블,895,-37.66,088910,kosdaq,2006/06/23
57,남양유업우,280,-2.78,003925,kospi,1978/06/24
58,엠에스씨,869,9.72,009780,kosdaq,1993/10/12
59,우양,814,22.21,103840,kosdaq,2019/11/20
60,삼양홀딩스,7871,7.97,000070,kospi,1968/12/27
61,삼양홀딩스우,183,5.22,000075,kospi,1968/12/27
62,마니커,1403,-3.55,027740,kospi,2002/10/29
63,이지바이오,2366,15.18,353810,kosdaq,2020/06/05
64,미래생명자원,960,100.78,218150,kosdaq,2015/06/18
65,샘표식품,2225,6.17,248170,kospi,2016/08/09
66,사조씨푸드,990,12.64,014710,kospi,2012/06/29
67,롯데푸드,4307,6.13,002270,kospi,1973/05/09
68,롯데지주우,580,-31.32,00499K,kospi,1974/02/16
69,교촌에프앤비,4484,16.21,339770,kospi,2020/11/12
70,사조대림,1631,4.82,003960,kospi,1976/09/16
71,롯데제과,8534,20.82,280360,kospi,2017/10/30
72,CJ씨푸드,1671,80.17,011150,kospi,1988/11/26
73,인산가,565,11.58,277410,kosdaq,2017/09/29
74,한성기업,490,21.62,003680,kospi,1989/01/26
75,한국맥널티,1143,25.23,222980,kosdaq,2015/12/23
76,팜스코,2567,20.68,036580,kospi,1999/10/25
77,샘표,1507,8.43,007540,kospi,1976/06/29
78,동원산업,9433,3.92,006040,kospi,1989/03/07
79,대상홀딩스,3712,4.34,084690,kospi,2005/08/17
80,한탑,481,-2.41,002680,kosdaq,1995/07/07
81,우리손에프앤지,1606,7.37,073560,kosdaq,2016/07/27
82,하림지주,8588,15.76,003380,kosdaq,2017/06/30
83,선진,3829,4.58,136490,kospi,2011/02/16
